,open,high,low,close,close_mean60,close_mean50,close_mean40,close_mean30,close_mean20,close_mean10
open,1.0,0.9995414639387166,0.9995313494660408,0.9992983611046194,0.9695183922623404,0.9750366771465939,0.9804919043328176,0.9858231417391251,0.9909323121668991,0.9957149025745476
high,0.9995414639387166,1.0,0.9992565558296067,0.9996780459231356,0.9688191888389277,0.974347501711053,0.9798220604935032,0.9851773331528366,0.9903086084848294,0.9951121681326819
low,0.9995313494660408,0.9992565558296067,1.0,0.9996132370541554,0.9688696400145047,0.9744089727753357,0.9798929109715112,0.9852445011083918,0.9903969195469827,0.9951983943519362
close,0.9992983611046194,0.9996780459231356,0.9996132370541554,1.0,0.968605627943664,0.9741407712715715,0.9796193087260299,0.9849692674731952,0.9901183368830158,0.9949323096723797
close_mean60,0.9695183922623404,0.9688191888389277,0.9688696400145047,0.968605627943664,1.0,0.9991399573347958,0.9965489435600611,0.9922252759708892,0.9862114897359411,0.9785476236610046
close_mean50,0.9750366771465939,0.974347501711053,0.9744089727753357,0.9741407712715715,0.9991399573347958,1.0,0.9989864917830957,0.9959354108609543,0.9908617861628676,0.9838072701686374
close_mean40,0.9804919043328176,0.9798220604935032,0.9798929109715112,0.9796193087260299,0.9965489435600611,0.9989864917830957,1.0,0.9987612272787909,0.9950469291638329,0.9888675787377229
close_mean30,0.9858231417391251,0.9851773331528366,0.9852445011083918,0.9849692674731952,0.9922252759708892,0.9959354108609543,0.9987612272787909,1.0,0.9983997104230543,0.9936024499153403
close_mean20,0.9909323121668991,0.9903086084848294,0.9903969195469827,0.9901183368830158,0.9862114897359411,0.9908617861628676,0.9950469291638329,0.9983997104230543,1.0,0.9976796598357266
close_mean10,0.9957149025745476,0.9951121681326819,0.9951983943519362,0.9949323096723797,0.9785476236610046,0.9838072701686374,0.9888675787377229,0.9936024499153403,0.9976796598357266,1.0
